BaliseA,LatA,LongA,CommuneA,AdresseA,BaliseB,LatB,LongB,CommuneB,AdresseB,Temps de parcours A>B (en min),Temps de parcours B>A (en min)
Place Ducale,49.773546,4.720893,CHARLEVILLE-MEZIERES,"Place Ducale, 08000 Charleville-Mézières, France",Gare de Charleville,49.767996,4.725016,CHARLEVILLE-MEZIERES,"Gare de Charleville-Mézières, Place de la Gare, 08000 Charleville-Mézières, France",3,3
Place Ducale,49.773547,4.720894,CHARLEVILLE-MEZIERES,"Place Ducale, 08000 Charleville-Mézières, France",Gonzague,49.770667,4.71942,CHARLEVILLE-MEZIERES,"Boulevard Gambetta, 08000 Charleville-Mézières, France",2,2
Place Ducale,49.773548,4.720895,CHARLEVILLE-MEZIERES,"Place Ducale, 08000 Charleville-Mézières, France",Pont de Montcy,49.775854,4.728013,CHARLEVILLE-MEZIERES,"79 Rue Forest, 08000 Charleville-Mézières, France",4,3
Place Ducale,49.773549,4.720896,CHARLEVILLE-MEZIERES,"Place Ducale, 08000 Charleville-Mézières, France",Place des Droits de l’Homme,49.778768,4.716808,CHARLEVILLE-MEZIERES,"13 Place des Droits de l'Homme, 08000 Charleville-Mézières, France",4,6
Place Ducale,49.773550,4.720897,CHARLEVILLE-MEZIERES,"Place Ducale, 08000 Charleville-Mézières, France",Cimetière Boutet,49.775873,4.710554,CHARLEVILLE-MEZIERES,"82 Avenue Charles Boutet, 08000 Charleville-Mézières, France",4,8
Gare de Charleville,49.767996,4.725016,CHARLEVILLE-MEZIERES,"Gare de Charleville-Mézières, Place de la Gare, 08000 Charleville-Mézières, France",Pont de Montcy,49.775854,4.728013,CHARLEVILLE-MEZIERES,"79 Rue Forest, 08000 Charleville-Mézières, France",4,4
Gare de Charleville,49.767997,4.725017,CHARLEVILLE-MEZIERES,"Gare de Charleville-Mézières, Place de la Gare, 08000 Charleville-Mézières, France",Hôtel de Ville,49.760233,4.718773,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",5,5
Gonzague,49.770667,4.71942,CHARLEVILLE-MEZIERES,"Boulevard Gambetta, 08000 Charleville-Mézières, France",Hôtel de Ville,49.760234,4.718774,CHARLEVILLE-MEZIERES,"73 Place de l'Hôtel de ville, 08000 Charleville-Mézières, France",6,6
Gonzague,49.770668,4.71943,CHARLEVILLE-MEZIERES,"Boulevard Gambetta, 08000 Charleville-Mézières, France",Bd Gambetta,49.773683,4.705108,CHARLEVILLE-MEZIERES,"167 Avenue Charles de Gaulle, 08000 Charleville-Mézières, France",6,4
Pont de Montcy,49.775854,4.728013,CHARLEVILLE-MEZIERES,"79 Rue Forest, 08000 Charleville-Mézières, France",Parc du Mont Olympe,49.780442,4.720269,CHARLEVILLE-MEZIERES,"Rue des Pâquis, Charleville-Mézières, France",3,3
Pont de Montcy,49.775855,4.728014,CHARLEVILLE-MEZIERES,"79 Rue Forest, 08000 Charleville-Mézières, France",Montcy-Saint-Pierre,49.78104,4.728931,CHARLEVILLE-MEZIERES,"2 Rue des Chalets, 08000 Charleville-Mézières, France",3,3
